id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H,spectral_class
bk10ce1n,       (2010 CN141),Y,N,0.0599273,0.3990937679827694,1.516206373444621,0.9110978588271176,23.79842611826347,0.254,0.03,APO,22.4,C
bk10ch1j,       (2010 CJ171),Y,N,0.113121,0.4906149276569559,1.996674592573156,1.017076231783395,7.378017868490478,0.134,0.358,AMO,21.1,M
bk10d00l,       (2010 DL),Y,N,0.0186057,0.3137927824281528,1.352697503986811,0.9282307904271724,2.567788024983534,0.019,0.08,APO,27.0,C
bk10d00o,       (2010 DO),Y,Y,0.0173311,0.7458738828106036,1.612823296222458,0.409860521981617,11.93761073492333,0.149,0.176,APO,21.7,S
bk10d01x,       (2010 DX1),Y,N,0.0711917,0.7057721047014591,2.590305377349801,0.7621400993581247,20.23900901036244,0.167,0.146,APO,21.6,C
bk10d21m,       (2010 DM21),Y,N,0.259416,0.6568072078858856,2.862179132231037,0.9822792479211224,21.15263896174155,0.303,0.133,APO,20.2,C
bk10d34k,       (2010 DK34),Y,N,0.331537,0.7651257485035071,2.776940802093949,0.6522318923418869,27.40987774025836,0.283,0.152,APO,20.4,S
bk10d56h,       (2010 DH56),Y,N,0.334031,0.5661264766044407,2.237689612975267,0.9708742766472248,33.66480368460428,0.774,0.022,APO,20.3,C
bk10d64f,       (2010 DF64),Y,N,0.285079,0.2278807057785793,1.608256779780852,1.241766089731206,24.79278044654593,1.699,0.051,AMO,20.0,C
bk10d77h,       (2010 DH77),Y,N,0.148998,0.7082041142240845,3.26810375876697,0.9536192310970067,34.33705470340725,0.52,0.009,APO,21.4,C
bk10e11x,       (2010 EX11),Y,N,0.0277628,0.1096735194900076,0.956049678971669,0.8511963458715542,9.7454802818434,0.04,0.234,ATE,24.1,S
bk10e21g,       (2010 EG21),Y,N,0.0402082,0.2264429193515939,0.8443654193594359,0.6531648488001524,9.706161561644327,0.09,0.038,ATE,24.4,C
bk10e43c,       (2010 EC43),Y,N,0.00477493,0.6043251401661014,2.431533955714494,0.9620968571086976,0.78158796326827,0.051,0.434,APO,23.0,M
bk10e43k,       (2010 EK43),Y,N,0.0761296,0.6536062427403954,1.397307379848111,0.4840185533521609,7.878902878850454,0.233,0.068,APO,21.6,C
bk10f00c,       (2010 FC),Y,N,0.0762945,0.2401235242840199,1.329799868912905,1.010483637797111,7.04119356135169,0.093,0.051,APO,24.0,C
bk10f00k,       (2010 FK),Y,N,0.0330291,0.0970909190160113,0.9400429061960472,0.8487732765189909,12.67242698614271,0.087,0.071,ATE,23.8,C
bk10f00q,       (2010 FQ),Y,Y,0.00376038,0.3563490941999953,1.527140828793466,0.9829455777370844,10.5561876187313,0.285,0.204,APO,20.0,S
bk10f00s,       (2010 FS),Y,N,0.00868534,0.3175207221400699,0.7799517944033373,0.5323009374099463,9.120002993183704,0.023,0.548,ATE,24.2,M
bk10f00t,       (2010 FT),Y,N,0.0129216,0.1945545977844582,1.090090121466374,0.8780080763356723,5.604376994438395,0.018,0.294,APO,25.7,S
bk10f06d,       (2010 FD6),Y,N,0.0027539,0.4356512566879174,1.447191592965108,0.8167207568216698,0.4589834255073741,0.008,0.497,APO,26.8,M
bk10f07d,       (2010 FD7),Y,N,0.0551017,0.6857896512343803,2.583185754160696,0.8116636967412126,6.175001289664514,0.075,0.448,APO,22.1,M
bk10f07e,       (2010 FE7),Y,N,0.00231169,0.5532723019167199,1.949639821910807,0.8709581097337109,1.549954616699713,0.045,0.288,APO,23.7,S
bk10f09r,       (2010 FR9),Y,N,0.0151696,0.3812558299045926,1.579323205458119,0.9771970260736028,5.716373755554669,0.015,0.287,APO,26.1,S
