id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H
bK16R18J,       (2016 RJ18),Y,N,0.109891,0.3944021711870507,1.81440680713201,1.098800822982581,4.909179290904489,0.06846669297430096,,AMO,23.5
bK16R19Q,       (2016 RQ19),Y,N,0.133705,0.5212151887255131,2.360566335545216,1.130203307464923,3.333477061384359,0.056948114743233316,,AMO,23.9
bK16R19R,       (2016 RR19),Y,N,0.0041864,0.4759235572944791,1.727356191599032,0.9052666881785768,2.555538270173739,0.006538518417986328,,APO,28.6
bK16R19T,       (2016 RT19),Y,N,0.187626,0.1048554440648149,1.324957213481501,1.186028236495018,28.01668558195939,0.14978880340791204,,AMO,21.8
bK16R19U,       (2016 RU19),Y,N,0.0445335,0.6708688231760543,1.605920207037568,0.5285584076276291,5.076666006996263,0.07169342880402657,,APO,23.4
bK16R19V,       (2016 RV19),Y,N,0.0407852,0.5263476041956997,2.201882862748346,1.042927093221185,2.01161202682641,0.02988679546440889,,AMO,25.3
bK16R19W,       (2016 RW19),Y,N,0.140658,0.48197819505253,1.25601917935089,0.6506453223359884,8.24854528093317,0.21651069365823924,,APO,21.0
bK16R19X,       (2016 RX19),Y,N,0.111102,0.6029713850889519,2.7000144994865,1.071983016970872,32.34352289758995,0.32770219579315385,,AMO,20.1
bK16R19Y,       (2016 RY19),Y,N,0.0664301,0.6142041421835817,2.553256542774748,0.9850357981451664,7.778184212888224,0.03277021957931538,,APO,25.1
bK16R19Z,       (2016 RZ19),Y,N,0.145596,0.1962015409690348,1.424900881990825,1.145333133216088,22.19105000304393,0.049599734457997334,,AMO,24.2
bK16R20A,       (2016 RA20),Y,N,0.104077,0.706142895927176,2.658824587333506,0.7813144934714453,9.067314059844716,0.08619445964685658,,APO,23.0
bK16R20B,       (2016 RB20),Y,N,0.100214,0.5128304496325863,2.111127522551678,1.028477045929773,6.921225430539298,0.047367378676019346,,AMO,24.3
bK16R20C,       (2016 RC20),Y,N,0.0653137,0.3641986583849154,1.671205174622979,1.062554492139361,30.68131342699454,0.28541668088449595,,AMO,20.4
bK16R20D,       (2016 RD20),Y,N,0.0740634,0.568608860358123,2.499539621037832,1.078279245699536,2.213796103412552,0.03762524628723898,,AMO,24.8
bK16R20E,       (2016 RE20),Y,N,0.0956267,0.3662640095911593,1.644613791547332,1.042250950026287,5.317995420498369,0.07861028149035892,,AMO,23.2
bK16R20F,       (2016 RF20),Y,N,0.157959,0.4204045569949176,1.979200167466035,1.14713539785821,6.125737234213236,0.056948114743233316,,AMO,23.9
bK16R20G,       (2016 RG20),Y,N,0.203362,0.2629878557878689,1.022117746060466,0.753313191661295,17.17865583592866,0.06538518417986329,,APO,23.6
bK16R20H,       (2016 RH20),Y,N,0.182661,0.3790412439402746,1.631351705285613,1.013002125610066,13.6077671211982,0.07169342880402657,,APO,23.4
